,CO2,RCP26,RCP45,RCP60,RCP85
975,278.972,na,na,na,na
976,278.978,na,na,na,na
977,278.986,na,na,na,na
978,278.996,na,na,na,na
979,279.006,na,na,na,na
980,279.008,na,na,na,na
981,279.024,na,na,na,na
982,279.038,na,na,na,na
983,279.057,na,na,na,na
984,279.069,na,na,na,na
985,279.092,na,na,na,na
986,279.115,na,na,na,na
987,279.148,na,na,na,na
988,279.169,na,na,na,na
989,279.183,na,na,na,na
990,279.201,na,na,na,na
991,279.217,na,na,na,na
992,279.241,na,na,na,na
993,279.262,na,na,na,na
994,279.278,na,na,na,na
995,279.294,na,na,na,na
996,279.314,na,na,na,na
997,279.339,na,na,na,na
998,279.358,na,na,na,na
999,279.382,na,na,na,na
1000,279.404,na,na,na,na
1001,279.426,na,na,na,na
1002,279.448,na,na,na,na
1003,279.477,na,na,na,na
1004,279.499,na,na,na,na
1005,279.523999999999,na,na,na,na
1006,279.540999999999,na,na,na,na
1007,279.559999999999,na,na,na,na
1008,279.579000000002,na,na,na,na
1009,279.601,na,na,na,na
1010,279.630000000004,na,na,na,na
1011,279.660999999991,na,na,na,na
1012,279.691999999952,na,na,na,na
1013,279.730000000001,na,na,na,na
1014,279.760000000001,na,na,na,na
1015,279.795,na,na,na,na
1016,279.828,na,na,na,na
1017,279.86,na,na,na,na
1018,279.892,na,na,na,na
1019,279.917,na,na,na,na
1020,279.949,na,na,na,na
1021,279.984,na,na,na,na
1022,280.018,na,na,na,na
1023,280.052,na,na,na,na
1024,280.087,na,na,na,na
1025,280.126,na,na,na,na
1026,280.163999999999,na,na,na,na
1027,280.2,na,na,na,na
1028,280.236,na,na,na,na
1029,280.276,na,na,na,na
1030,280.313000000001,na,na,na,na
1031,280.353000000001,na,na,na,na
1032,280.395,na,na,na,na
1033,280.437000000001,na,na,na,na
1034,280.48,na,na,na,na
1035,280.514,na,na,na,na
1036,280.554,na,na,na,na
1037,280.591000000001,na,na,na,na
1038,280.632,na,na,na,na
1039,280.674,na,na,na,na
1040,280.71,na,na,na,na
1041,280.754,na,na,na,na
1042,280.793,na,na,na,na
1043,280.835,na,na,na,na
1044,280.876000000001,na,na,na,na
1045,280.913,na,na,na,na
1046,280.955,na,na,na,na
1047,280.991,na,na,na,na
1048,281.034,na,na,na,na
1049,281.078999999999,na,na,na,na
1050,281.127999999999,na,na,na,na
1051,281.173,na,na,na,na
1052,281.218,na,na,na,na
1053,281.273,na,na,na,na
1054,281.328,na,na,na,na
1055,281.371000000001,na,na,na,na
1056,281.418,na,na,na,na
1057,281.460000000001,na,na,na,na
1058,281.512,na,na,na,na
1059,281.556999999999,na,na,na,na
1060,281.600999999999,na,na,na,na
1061,281.641,na,na,na,na
1062,281.685000000001,na,na,na,na
1063,281.729,na,na,na,na
1064,281.768000000001,na,na,na,na
1065,281.802,na,na,na,na
1066,281.838000000002,na,na,na,na
1067,281.873,na,na,na,na
1068,281.910000000001,na,na,na,na
1069,281.948000000002,na,na,na,na
1070,281.983,na,na,na,na
1071,282.023,na,na,na,na
1072,282.060999999999,na,na,na,na
1073,282.096999999999,na,na,na,na
1074,282.133000000001,na,na,na,na
1075,282.173,na,na,na,na
1076,282.207,na,na,na,na
1077,282.245,na,na,na,na
1078,282.282,na,na,na,na
1079,282.314000000001,na,na,na,na
1080,282.350000000002,na,na,na,na
1081,282.384000000001,na,na,na,na
1082,282.416,na,na,na,na
1083,282.45,na,na,na,na
1084,282.483000000001,na,na,na,na
1085,282.513000000001,na,na,na,na
1086,282.547000000002,na,na,na,na
1087,282.578,na,na,na,na
1088,282.606999999999,na,na,na,na
1089,282.647000000001,na,na,na,na
1090,282.68,na,na,na,na
1091,282.707000000001,na,na,na,na
1092,282.738,na,na,na,na
1093,282.773000000001,na,na,na,na
1094,282.803999999999,na,na,na,na
1095,282.832000000001,na,na,na,na
1096,282.861,na,na,na,na
1097,282.881999999999,na,na,na,na
1098,282.914999999999,na,na,na,na
1099,282.947000000002,na,na,na,na
1100,282.969,na,na,na,na
1101,282.996,na,na,na,na
1102,283.021,na,na,na,na
1103,283.048,na,na,na,na
1104,283.077,na,na,na,na
1105,283.105,na,na,na,na
1106,283.135,na,na,na,na
1107,283.167,na,na,na,na
1108,283.193,na,na,na,na
1109,283.213,na,na,na,na
1110,283.232,na,na,na,na
1111,283.251,na,na,na,na
1112,283.276,na,na,na,na
1113,283.306,na,na,na,na
1114,283.331,na,na,na,na
1115,283.356,na,na,na,na
1116,283.38,na,na,na,na
1117,283.401,na,na,na,na
1118,283.42,na,na,na,na
1119,283.448,na,na,na,na
1120,283.473,na,na,na,na
1121,283.494,na,na,na,na
1122,283.517,na,na,na,na
1123,283.543,na,na,na,na
1124,283.565,na,na,na,na
1125,283.587,na,na,na,na
1126,283.61,na,na,na,na
1127,283.630999999999,na,na,na,na
1128,283.655,na,na,na,na
1129,283.675,na,na,na,na
1130,283.699000000001,na,na,na,na
1131,283.719000000001,na,na,na,na
1132,283.739,na,na,na,na
1133,283.758000000001,na,na,na,na
1134,283.779,na,na,na,na
1135,283.795,na,na,na,na
1136,283.814,na,na,na,na
1137,283.836000000001,na,na,na,na
1138,283.854,na,na,na,na
1139,283.877,na,na,na,na
1140,283.893,na,na,na,na
1141,283.913,na,na,na,na
1142,283.929,na,na,na,na
1143,283.948,na,na,na,na
1144,283.961000000001,na,na,na,na
1145,283.982,na,na,na,na
1146,283.999,na,na,na,na
1147,284.01,na,na,na,na
1148,284.028,na,na,na,na
1149,284.047999999999,na,na,na,na
1150,284.057999999999,na,na,na,na
1151,284.071,na,na,na,na
1152,284.096,na,na,na,na
1153,284.111999999999,na,na,na,na
1154,284.125,na,na,na,na
1155,284.131000000001,na,na,na,na
1156,284.141,na,na,na,na
1157,284.152,na,na,na,na
1158,284.158,na,na,na,na
1159,284.165,na,na,na,na
1160,284.164,na,na,na,na
1161,284.164,na,na,na,na
1162,284.166000000001,na,na,na,na
1163,284.168,na,na,na,na
1164,284.169,na,na,na,na
1165,284.169,na,na,na,na
1166,284.168000000001,na,na,na,na
1167,284.164,na,na,na,na
1168,284.167000000001,na,na,na,na
1169,284.165000000001,na,na,na,na
1170,284.165,na,na,na,na
1171,284.164,na,na,na,na
1172,284.158999999999,na,na,na,na
1173,284.163999999999,na,na,na,na
1174,284.164000000001,na,na,na,na
1175,284.166,na,na,na,na
1176,284.165,na,na,na,na
1177,284.164,na,na,na,na
1178,284.16,na,na,na,na
1179,284.157,na,na,na,na
1180,284.156000000001,na,na,na,na
1181,284.15,na,na,na,na
1182,284.145,na,na,na,na
1183,284.128,na,na,na,na
1184,284.098,na,na,na,na
1185,284.070000000001,na,na,na,na
1186,284.055000000001,na,na,na,na
1187,284.045,na,na,na,na
1188,284.021999999999,na,na,na,na
1189,283.999,na,na,na,na
1190,283.967,na,na,na,na
1191,283.942,na,na,na,na
1192,283.924,na,na,na,na
1193,283.896,na,na,na,na
1194,283.876,na,na,na,na
1195,283.846,na,na,na,na
1196,283.816,na,na,na,na
1197,283.797,na,na,na,na
1198,283.769,na,na,na,na
1199,283.744000000001,na,na,na,na
1200,283.726,na,na,na,na
1201,283.699,na,na,na,na
1202,283.679,na,na,na,na
1203,283.661,na,na,na,na
1204,283.646,na,na,na,na
1205,283.63,na,na,na,na
1206,283.611,na,na,na,na
1207,283.589,na,na,na,na
1208,283.566,na,na,na,na
1209,283.545,na,na,na,na
1210,283.52,na,na,na,na
1211,283.498,na,na,na,na
1212,283.473,na,na,na,na
1213,283.452,na,na,na,na
1214,283.423,na,na,na,na
1215,283.4,na,na,na,na
1216,283.371,na,na,na,na
1217,283.342,na,na,na,na
1218,283.311,na,na,na,na
1219,283.282,na,na,na,na
1220,283.256,na,na,na,na
1221,283.225,na,na,na,na
1222,283.195,na,na,na,na
1223,283.175,na,na,na,na
1224,283.152,na,na,na,na
1225,283.128,na,na,na,na
1226,283.106000000001,na,na,na,na
1227,283.089,na,na,na,na
1228,283.06,na,na,na,na
1229,283.034,na,na,na,na
1230,283.014,na,na,na,na
1231,282.996,na,na,na,na
1232,282.983,na,na,na,na
1233,282.953999999999,na,na,na,na
1234,282.932,na,na,na,na
1235,282.912,na,na,na,na
1236,282.889,na,na,na,na
1237,282.858,na,na,na,na
1238,282.835,na,na,na,na
1239,282.815,na,na,na,na
1240,282.79,na,na,na,na
1241,282.758,na,na,na,na
1242,282.724,na,na,na,na
1243,282.698,na,na,na,na
1244,282.669999999999,na,na,na,na
1245,282.643,na,na,na,na
1246,282.613000000001,na,na,na,na
1247,282.584,na,na,na,na
1248,282.551,na,na,na,na
1249,282.517,na,na,na,na
1250,282.478000000001,na,na,na,na
1251,282.446,na,na,na,na
1252,282.42,na,na,na,na
1253,282.394,na,na,na,na
1254,282.359,na,na,na,na
1255,282.332999999999,na,na,na,na
1256,282.299,na,na,na,na
1257,282.273,na,na,na,na
1258,282.233,na,na,na,na
1259,282.202000000001,na,na,na,na
1260,282.173000000001,na,na,na,na
1261,282.142,na,na,na,na
1262,282.113999999999,na,na,na,na
1263,282.086,na,na,na,na
1264,282.06,na,na,na,na
1265,282.028000000001,na,na,na,na
1266,282.003999999999,na,na,na,na
1267,281.984,na,na,na,na
1268,281.966999999999,na,na,na,na
1269,281.939999999999,na,na,na,na
1270,281.929,na,na,na,na
1271,281.91,na,na,na,na
1272,281.888000000001,na,na,na,na
1273,281.870000000001,na,na,na,na
1274,281.86,na,na,na,na
1275,281.844,na,na,na,na
1276,281.835,na,na,na,na
1277,281.817,na,na,na,na
1278,281.799,na,na,na,na
1279,281.787,na,na,na,na
1280,281.780999999999,na,na,na,na
1281,281.773999999999,na,na,na,na
1282,281.761,na,na,na,na
1283,281.745,na,na,na,na
1284,281.722,na,na,na,na
1285,281.706999999999,na,na,na,na
1286,281.697999999999,na,na,na,na
1287,281.686,na,na,na,na
1288,281.671000000001,na,na,na,na
1289,281.655999999999,na,na,na,na
1290,281.635,na,na,na,na
1291,281.615,na,na,na,na
1292,281.605,na,na,na,na
1293,281.595999999999,na,na,na,na
1294,281.591000000001,na,na,na,na
1295,281.580999999999,na,na,na,na
1296,281.575,na,na,na,na
1297,281.564000000001,na,na,na,na
1298,281.559000000001,na,na,na,na
1299,281.553999999999,na,na,na,na
1300,281.542,na,na,na,na
1301,281.538,na,na,na,na
1302,281.53,na,na,na,na
1303,281.524,na,na,na,na
1304,281.517,na,na,na,na
1305,281.512,na,na,na,na
1306,281.503,na,na,na,na
1307,281.494,na,na,na,na
1308,281.487,na,na,na,na
1309,281.481,na,na,na,na
1310,281.471,na,na,na,na
1311,281.454,na,na,na,na
1312,281.435,na,na,na,na
1313,281.42,na,na,na,na
1314,281.394,na,na,na,na
1315,281.376,na,na,na,na
1316,281.356,na,na,na,na
1317,281.328,na,na,na,na
1318,281.294,na,na,na,na
1319,281.278,na,na,na,na
1320,281.259,na,na,na,na
1321,281.237,na,na,na,na
1322,281.232,na,na,na,na
1323,281.217,na,na,na,na
1324,281.205,na,na,na,na
1325,281.2,na,na,na,na
1326,281.197,na,na,na,na
1327,281.182,na,na,na,na
1328,281.167,na,na,na,na
1329,281.167,na,na,na,na
1330,281.164,na,na,na,na
1331,281.162,na,na,na,na
1332,281.156,na,na,na,na
1333,281.166,na,na,na,na
1334,281.164,na,na,na,na
1335,281.172,na,na,na,na
1336,281.174,na,na,na,na
1337,281.163,na,na,na,na
1338,281.16,na,na,na,na
1339,281.156,na,na,na,na
1340,281.139,na,na,na,na
1341,281.117,na,na,na,na
1342,281.087,na,na,na,na
1343,281.063,na,na,na,na
1344,281.046,na,na,na,na
1345,281.027,na,na,na,na
1346,281.017,na,na,na,na
1347,281.014,na,na,na,na
1348,281.006,na,na,na,na
1349,280.996,na,na,na,na
1350,280.99,na,na,na,na
1351,280.985,na,na,na,na
1352,280.985,na,na,na,na
1353,280.986,na,na,na,na
1354,280.982,na,na,na,na
1355,280.979,na,na,na,na
1356,280.97,na,na,na,na
1357,280.963,na,na,na,na
1358,280.949,na,na,na,na
1359,280.934,na,na,na,na
1360,280.921,na,na,na,na
1361,280.913,na,na,na,na
1362,280.899,na,na,na,na
1363,280.879,na,na,na,na
1364,280.864,na,na,na,na
1365,280.834,na,na,na,na
1366,280.824,na,na,na,na
1367,280.811,na,na,na,na
1368,280.797999999999,na,na,na,na
1369,280.774999999999,na,na,na,na
1370,280.759,na,na,na,na
1371,280.746,na,na,na,na
1372,280.732000000001,na,na,na,na
1373,280.717000000001,na,na,na,na
1374,280.705,na,na,na,na
1375,280.691,na,na,na,na
1376,280.68,na,na,na,na
1377,280.67,na,na,na,na
1378,280.662,na,na,na,na
1379,280.65,na,na,na,na
1380,280.637999999999,na,na,na,na
1381,280.634,na,na,na,na
1382,280.636,na,na,na,na
1383,280.636,na,na,na,na
1384,280.631,na,na,na,na
1385,280.625999999999,na,na,na,na
1386,280.629999999999,na,na,na,na
1387,280.627,na,na,na,na
1388,280.611000000001,na,na,na,na
1389,280.601999999999,na,na,na,na
1390,280.605,na,na,na,na
1391,280.596,na,na,na,na
1392,280.585,na,na,na,na
1393,280.568,na,na,na,na
1394,280.552,na,na,na,na
1395,280.54,na,na,na,na
1396,280.518,na,na,na,na
1397,280.499,na,na,na,na
1398,280.483,na,na,na,na
1399,280.463999999999,na,na,na,na
1400,280.445,na,na,na,na
1401,280.425,na,na,na,na
1402,280.406,na,na,na,na
1403,280.387,na,na,na,na
1404,280.376,na,na,na,na
1405,280.369,na,na,na,na
1406,280.359,na,na,na,na
1407,280.358,na,na,na,na
1408,280.349,na,na,na,na
1409,280.347,na,na,na,na
1410,280.344,na,na,na,na
1411,280.339,na,na,na,na
1412,280.33,na,na,na,na
1413,280.324,na,na,na,na
1414,280.318,na,na,na,na
1415,280.304,na,na,na,na
1416,280.298,na,na,na,na
1417,280.29,na,na,na,na
1418,280.281,na,na,na,na
1419,280.274,na,na,na,na
1420,280.272,na,na,na,na
1421,280.266,na,na,na,na
1422,280.263,na,na,na,na
1423,280.274,na,na,na,na
1424,280.3,na,na,na,na
1425,280.304,na,na,na,na
1426,280.324,na,na,na,na
1427,280.334,na,na,na,na
1428,280.376,na,na,na,na
1429,280.41,na,na,na,na
1430,280.422,na,na,na,na
1431,280.427,na,na,na,na
1432,280.425,na,na,na,na
1433,280.434,na,na,na,na
1434,280.438,na,na,na,na
1435,280.428,na,na,na,na
1436,280.465,na,na,na,na
1437,280.487,na,na,na,na
1438,280.518,na,na,na,na
1439,280.551,na,na,na,na
1440,280.579,na,na,na,na
1441,280.63,na,na,na,na
1442,280.672,na,na,na,na
1443,280.716,na,na,na,na
1444,280.754,na,na,na,na
1445,280.79,na,na,na,na
1446,280.829,na,na,na,na
1447,280.869,na,na,na,na
1448,280.911,na,na,na,na
1449,280.951,na,na,na,na
1450,280.99,na,na,na,na
1451,281.024,na,na,na,na
1452,281.058,na,na,na,na
1453,281.088,na,na,na,na
1454,281.102,na,na,na,na
1455,281.109,na,na,na,na
1456,281.115,na,na,na,na
1457,281.102,na,na,na,na
1458,281.11,na,na,na,na
1459,281.134,na,na,na,na
1460,281.16,na,na,na,na
1461,281.179,na,na,na,na
1462,281.194,na,na,na,na
1463,281.231,na,na,na,na
1464,281.265,na,na,na,na
1465,281.301,na,na,na,na
1466,281.336000000001,na,na,na,na
1467,281.378,na,na,na,na
1468,281.414,na,na,na,na
1469,281.455000000001,na,na,na,na
1470,281.47,na,na,na,na
1471,281.493,na,na,na,na
1472,281.520999999999,na,na,na,na
1473,281.559,na,na,na,na
1474,281.591,na,na,na,na
1475,281.629,na,na,na,na
1476,281.659,na,na,na,na
1477,281.71,na,na,na,na
1478,281.763,na,na,na,na
1479,281.824,na,na,na,na
1480,281.877000000001,na,na,na,na
1481,281.931,na,na,na,na
1482,281.99,na,na,na,na
1483,282.047,na,na,na,na
1484,282.106,na,na,na,na
1485,282.164000000001,na,na,na,na
1486,282.225000000001,na,na,na,na
1487,282.275,na,na,na,na
1488,282.329,na,na,na,na
1489,282.392000000001,na,na,na,na
1490,282.448,na,na,na,na
1491,282.501,na,na,na,na
1492,282.56,na,na,na,na
1493,282.613000000001,na,na,na,na
1494,282.669999999999,na,na,na,na
1495,282.723000000001,na,na,na,na
1496,282.775,na,na,na,na
1497,282.830999999999,na,na,na,na
1498,282.888,na,na,na,na
1499,282.940000000001,na,na,na,na
1500,282.996,na,na,na,na
1501,283.041,na,na,na,na
1502,283.087,na,na,na,na
1503,283.136,na,na,na,na
1504,283.178,na,na,na,na
1505,283.218,na,na,na,na
1506,283.248,na,na,na,na
1507,283.274,na,na,na,na
1508,283.302,na,na,na,na
1509,283.333,na,na,na,na
1510,283.371,na,na,na,na
1511,283.404,na,na,na,na
1512,283.436,na,na,na,na
1513,283.467,na,na,na,na
1514,283.500000000001,na,na,na,na
1515,283.529,na,na,na,na
1516,283.538,na,na,na,na
1517,283.555,na,na,na,na
1518,283.558,na,na,na,na
1519,283.558000000001,na,na,na,na
1520,283.559,na,na,na,na
1521,283.548,na,na,na,na
1522,283.54,na,na,na,na
1523,283.528,na,na,na,na
1524,283.513,na,na,na,na
1525,283.504,na,na,na,na
1526,283.494,na,na,na,na
1527,283.483,na,na,na,na
1528,283.481,na,na,na,na
1529,283.482,na,na,na,na
1530,283.472000000001,na,na,na,na
1531,283.453,na,na,na,na
1532,283.46,na,na,na,na
1533,283.458000000001,na,na,na,na
1534,283.454,na,na,na,na
1535,283.442,na,na,na,na
1536,283.429,na,na,na,na
1537,283.402,na,na,na,na
1538,283.38,na,na,na,na
1539,283.339,na,na,na,na
1540,283.311,na,na,na,na
1541,283.255,na,na,na,na
1542,283.208,na,na,na,na
1543,283.154,na,na,na,na
1544,283.091,na,na,na,na
1545,283.034,na,na,na,na
1546,282.983,na,na,na,na
1547,282.921,na,na,na,na
1548,282.866,na,na,na,na
1549,282.799,na,na,na,na
1550,282.737,na,na,na,na
1551,282.687,na,na,na,na
1552,282.626,na,na,na,na
1553,282.565,na,na,na,na
1554,282.495,na,na,na,na
1555,282.449,na,na,na,na
1556,282.395,na,na,na,na
1557,282.334,na,na,na,na
1558,282.263,na,na,na,na
1559,282.214,na,na,na,na
1560,282.147,na,na,na,na
1561,282.08,na,na,na,na
1562,282.011,na,na,na,na
1563,281.93,na,na,na,na
1564,281.856,na,na,na,na
1565,281.787,na,na,na,na
1566,281.713,na,na,na,na
1567,281.621,na,na,na,na
1568,281.537,na,na,na,na
1569,281.461,na,na,na,na
1570,281.377,na,na,na,na
1571,281.302,na,na,na,na
1572,281.229000000001,na,na,na,na
1573,281.145,na,na,na,na
1574,281.05,na,na,na,na
1575,280.956,na,na,na,na
1576,280.868,na,na,na,na
1577,280.774,na,na,na,na
1578,280.68,na,na,na,na
1579,280.584,na,na,na,na
1580,280.479999999999,na,na,na,na
1581,280.382,na,na,na,na
1582,280.281,na,na,na,na
1583,280.18,na,na,na,na
1584,280.083,na,na,na,na
1585,279.985999999999,na,na,na,na
1586,279.885999999999,na,na,na,na
1587,279.784,na,na,na,na
1588,279.675000000001,na,na,na,na
1589,279.568999999999,na,na,na,na
1590,279.467,na,na,na,na
1591,279.352999999999,na,na,na,na
1592,279.237,na,na,na,na
1593,279.116999999999,na,na,na,na
1594,278.986000000001,na,na,na,na
1595,278.866999999999,na,na,na,na
1596,278.731,na,na,na,na
1597,278.619000000001,na,na,na,na
1598,278.531000000001,na,na,na,na
1599,278.439999999998,na,na,na,na
1600,278.376,na,na,na,na
1601,278.305,na,na,na,na
1602,278.217000000001,na,na,na,na
1603,278.14,na,na,na,na
1604,278.063,na,na,na,na
1605,278.003,na,na,na,na
1606,277.957,na,na,na,na
1607,277.896,na,na,na,na
1608,277.821,na,na,na,na
1609,277.793,na,na,na,na
1610,277.76,na,na,na,na
1611,277.764000000001,na,na,na,na
1612,277.756,na,na,na,na
1613,277.705999999999,na,na,na,na
1614,277.635999999999,na,na,na,na
1615,277.571,na,na,na,na
1616,277.497,na,na,na,na
1617,277.434,na,na,na,na
1618,277.358999999999,na,na,na,na
1619,277.286999999999,na,na,na,na
1620,277.219,na,na,na,na
1621,277.163,na,na,na,na
1622,277.091,na,na,na,na
1623,277.040000000001,na,na,na,na
1624,276.995,na,na,na,na
1625,276.937999999999,na,na,na,na
1626,276.882000000001,na,na,na,na
1627,276.844000000002,na,na,na,na
1628,276.796,na,na,na,na
1629,276.75,na,na,na,na
1630,276.714999999998,na,na,na,na
1631,276.679999999999,na,na,na,na
1632,276.653000000001,na,na,na,na
1633,276.626999999998,na,na,na,na
1634,276.605000000001,na,na,na,na
1635,276.579999999999,na,na,na,na
1636,276.553,na,na,na,na
1637,276.536999999999,na,na,na,na
1638,276.518,na,na,na,na
1639,276.502000000001,na,na,na,na
1640,276.490000000001,na,na,na,na
1641,276.482000000001,na,na,na,na
1642,276.473,na,na,na,na
1643,276.465,na,na,na,na
1644,276.452999999999,na,na,na,na
1645,276.441000000001,na,na,na,na
1646,276.435000000001,na,na,na,na
1647,276.429999999999,na,na,na,na
1648,276.423,na,na,na,na
1649,276.417000000001,na,na,na,na
1650,276.408000000001,na,na,na,na
1651,276.397,na,na,na,na
1652,276.398999999999,na,na,na,na
1653,276.386000000001,na,na,na,na
1654,276.371000000001,na,na,na,na
1655,276.363999999998,na,na,na,na
1656,276.359,na,na,na,na
1657,276.345,na,na,na,na
1658,276.332000000001,na,na,na,na
1659,276.319000000001,na,na,na,na
1660,276.308000000001,na,na,na,na
1661,276.308,na,na,na,na
1662,276.294999999999,na,na,na,na
1663,276.298,na,na,na,na
1664,276.284999999999,na,na,na,na
1665,276.274000000001,na,na,na,na
1666,276.271999999998,na,na,na,na
1667,276.281000000001,na,na,na,na
1668,276.284999999999,na,na,na,na
1669,276.290999999998,na,na,na,na
1670,276.305,na,na,na,na
1671,276.315,na,na,na,na
1672,276.332000000002,na,na,na,na
1673,276.348000000002,na,na,na,na
1674,276.367999999999,na,na,na,na
1675,276.367,na,na,na,na
1676,276.387,na,na,na,na
1677,276.406,na,na,na,na
1678,276.438,na,na,na,na
1679,276.461999999999,na,na,na,na
1680,276.504999999998,na,na,na,na
1681,276.535999999999,na,na,na,na
1682,276.569,na,na,na,na
1683,276.608,na,na,na,na
1684,276.634,na,na,na,na
1685,276.653999999999,na,na,na,na
1686,276.676999999999,na,na,na,na
1687,276.696,na,na,na,na
1688,276.710000000001,na,na,na,na
1689,276.710999999999,na,na,na,na
1690,276.728,na,na,na,na
1691,276.724,na,na,na,na
1692,276.73,na,na,na,na
1693,276.748999999999,na,na,na,na
1694,276.747000000001,na,na,na,na
1695,276.749999999999,na,na,na,na
1696,276.739,na,na,na,na
1697,276.746000000001,na,na,na,na
1698,276.748000000001,na,na,na,na
1699,276.746999999999,na,na,na,na
1700,276.746,na,na,na,na
1701,276.75,na,na,na,na
1702,276.758,na,na,na,na
1703,276.757,na,na,na,na
1704,276.755,na,na,na,na
1705,276.749,na,na,na,na
1706,276.743,na,na,na,na
1707,276.745,na,na,na,na
1708,276.739,na,na,na,na
1709,276.736,na,na,na,na
1710,276.741,na,na,na,na
1711,276.733,na,na,na,na
1712,276.731,na,na,na,na
1713,276.725,na,na,na,na
1714,276.723,na,na,na,na
1715,276.717,na,na,na,na
1716,276.716,na,na,na,na
1717,276.717,na,na,na,na
1718,276.71,na,na,na,na
1719,276.706,na,na,na,na
1720,276.695,na,na,na,na
1721,276.698,na,na,na,na
1722,276.701,na,na,na,na
1723,276.7,na,na,na,na
1724,276.708,na,na,na,na
1725,276.718,na,na,na,na
1726,276.719,na,na,na,na
1727,276.712,na,na,na,na
1728,276.707,na,na,na,na
1729,276.715,na,na,na,na
1730,276.723,na,na,na,na
1731,276.73,na,na,na,na
1732,276.733,na,na,na,na
1733,276.739,na,na,na,na
1734,276.753,na,na,na,na
1735,276.76,na,na,na,na
1736,276.773,na,na,na,na
1737,276.79,na,na,na,na
1738,276.812,na,na,na,na
1739,276.835,na,na,na,na
1740,276.855,na,na,na,na
1741,276.876,na,na,na,na
1742,276.901,na,na,na,na
1743,276.926,na,na,na,na
1744,276.953,na,na,na,na
1745,276.986,na,na,na,na
1746,277.014,na,na,na,na
1747,277.044,na,na,na,na
1748,277.08,na,na,na,na
1749,277.109,na,na,na,na
1750,277.147,na,na,na,na
1751,277.188,na,na,na,na
1752,277.229,na,na,na,na
1753,277.263,na,na,na,na
1754,277.304,na,na,na,na
1755,277.351,na,na,na,na
1756,277.389,na,na,na,na
1757,277.442,na,na,na,na
1758,277.489,na,na,na,na
1759,277.54,na,na,na,na
1760,277.605,na,na,na,na
1761,277.664,na,na,na,na
1762,277.732,na,na,na,na
1763,277.796,na,na,na,na
1764,277.859,na,na,na,na
1765,277.912999999787,na,na,na,na
1766,277.957999998298,na,na,na,na
1767,278.016999996594,na,na,na,na
1768,278.077999994892,na,na,na,na
1769,278.134999993189,na,na,na,na
1770,278.193999991486,na,na,na,na
1771,278.269999989783,na,na,na,na
1772,278.333999988079,na,na,na,na
1773,278.411999986376,na,na,na,na
1774,278.490999984675,na,na,na,na
1775,278.585999982971,na,na,na,na
1776,278.682999981268,na,na,na,na
1777,278.773999979565,na,na,na,na
1778,278.865999977863,na,na,na,na
1779,278.95899997616,na,na,na,na
1780,279.053999974458,na,na,na,na
1781,279.144999972755,na,na,na,na
1782,279.242999971051,na,na,na,na
1783,279.339999969348,na,na,na,na
1784,279.433999967646,na,na,na,na
1785,279.531999965944,na,na,na,na
1786,279.628999964241,na,na,na,na
1787,279.728999962537,na,na,na,na
1788,279.830999960833,na,na,na,na
1789,279.932999959132,na,na,na,na
1790,280.036999957428,na,na,na,na
1791,280.140999955726,na,na,na,na
1792,280.240999954022,na,na,na,na
1793,280.331999952321,na,na,na,na
1794,280.414999950616,na,na,na,na
1795,280.491999948915,na,na,na,na
1796,280.554999947211,na,na,na,na
1797,280.622999945507,na,na,na,na
1798,280.681999943804,na,na,na,na
1799,280.752999942104,na,na,na,na
1800,280.8339999404,na,na,na,na
1801,280.918999938696,na,na,na,na
1802,280.993999936993,na,na,na,na
1803,281.072999935291,na,na,na,na
1804,281.156999933588,na,na,na,na
1805,281.233999931885,na,na,na,na
1806,281.321999930183,na,na,na,na
1807,281.408999928479,na,na,na,na
1808,281.495999926777,na,na,na,na
1809,281.565999925074,na,na,na,na
1810,281.647999923371,na,na,na,na
1811,281.717999921667,na,na,na,na
1812,281.789999919965,na,na,na,na
1813,281.857999918263,na,na,na,na
1814,281.93099991656,na,na,na,na
1815,281.991999914857,na,na,na,na
1816,282.058999913154,na,na,na,na
1817,282.12699991145,na,na,na,na
1818,282.199999909749,na,na,na,na
1819,282.271999908046,na,na,na,na
1820,282.345999906342,na,na,na,na
1821,282.414999904639,na,na,na,na
1822,282.476999902936,na,na,na,na
1823,282.539999901233,na,na,na,na
1824,282.617999899531,na,na,na,na
1825,282.675999897828,na,na,na,na
1826,282.692999896124,na,na,na,na
1827,282.692999894421,na,na,na,na
1828,282.707999892719,na,na,na,na
1829,282.760999891016,na,na,na,na
1830,282.824999889315,na,na,na,na
1831,282.890999887612,na,na,na,na
1832,282.921999885907,na,na,na,na
1833,282.965999884207,na,na,na,na
1834,283.027999882501,na,na,na,na
1835,283.0859998808,na,na,na,na
1836,283.148999879096,na,na,na,na
1837,283.197999877395,na,na,na,na
1838,283.252999875691,na,na,na,na
1839,283.310999873987,na,na,na,na
1840,283.381999872284,na,na,na,na
1841,283.466999870581,na,na,na,na
1842,283.527999868879,na,na,na,na
1843,283.565999867176,na,na,na,na
1844,283.608999865475,na,na,na,na
1845,283.724999863769,na,na,na,na
1846,283.846999862067,na,na,na,na
1847,283.935999860366,na,na,na,na
1848,284.067999858662,na,na,na,na
1849,284.206999856957,na,na,na,na
1850,284.316999854786,na,na,na,na
1851,284.450999849332,na,na,na,na
1852,284.597999840503,na,na,na,na
