,CO2,RCP26,RCP45,RCP60,RCP85
226,279.532999999999,na,na,na,na
227,279.554,na,na,na,na
228,279.578,na,na,na,na
229,279.602,na,na,na,na
230,279.625000000001,na,na,na,na
231,279.646000000001,na,na,na,na
232,279.667,na,na,na,na
233,279.693000000001,na,na,na,na
234,279.717,na,na,na,na
235,279.739,na,na,na,na
236,279.749,na,na,na,na
237,279.77,na,na,na,na
238,279.788,na,na,na,na
239,279.806,na,na,na,na
240,279.825,na,na,na,na
241,279.835,na,na,na,na
242,279.846,na,na,na,na
243,279.855,na,na,na,na
244,279.863000000001,na,na,na,na
245,279.877,na,na,na,na
246,279.892,na,na,na,na
247,279.911,na,na,na,na
248,279.915,na,na,na,na
249,279.928,na,na,na,na
250,279.951999999999,na,na,na,na
251,279.974,na,na,na,na
252,279.987,na,na,na,na
253,279.994,na,na,na,na
254,279.998,na,na,na,na
255,280.007000000001,na,na,na,na
256,280.012,na,na,na,na
257,280.031,na,na,na,na
258,280.039,na,na,na,na
259,280.046,na,na,na,na
260,280.059,na,na,na,na
261,280.056,na,na,na,na
262,280.070000000001,na,na,na,na
263,280.073,na,na,na,na
264,280.076,na,na,na,na
265,280.086,na,na,na,na
266,280.097000000001,na,na,na,na
267,280.109,na,na,na,na
268,280.123000000001,na,na,na,na
269,280.122000000001,na,na,na,na
270,280.142,na,na,na,na
271,280.15,na,na,na,na
272,280.160999999999,na,na,na,na
273,280.171999999999,na,na,na,na
274,280.181,na,na,na,na
275,280.187,na,na,na,na
276,280.197,na,na,na,na
277,280.207,na,na,na,na
278,280.204,na,na,na,na
279,280.216,na,na,na,na
280,280.213000000001,na,na,na,na
281,280.222,na,na,na,na
282,280.228,na,na,na,na
283,280.23,na,na,na,na
284,280.231,na,na,na,na
285,280.235000000001,na,na,na,na
286,280.245000000001,na,na,na,na
287,280.242,na,na,na,na
288,280.242999999999,na,na,na,na
289,280.237,na,na,na,na
290,280.242,na,na,na,na
291,280.235,na,na,na,na
292,280.243,na,na,na,na
293,280.233000000001,na,na,na,na
294,280.235,na,na,na,na
295,280.236000000001,na,na,na,na
296,280.24,na,na,na,na
297,280.225,na,na,na,na
298,280.211,na,na,na,na
299,280.206000000001,na,na,na,na
300,280.209,na,na,na,na
301,280.211,na,na,na,na
302,280.21,na,na,na,na
303,280.207,na,na,na,na
304,280.206,na,na,na,na
305,280.208,na,na,na,na
306,280.203,na,na,na,na
307,280.196,na,na,na,na
308,280.197,na,na,na,na
309,280.196,na,na,na,na
310,280.193,na,na,na,na
311,280.19,na,na,na,na
312,280.192,na,na,na,na
313,280.171,na,na,na,na
314,280.169,na,na,na,na
315,280.157,na,na,na,na
316,280.156,na,na,na,na
317,280.148,na,na,na,na
318,280.14,na,na,na,na
319,280.126,na,na,na,na
320,280.125,na,na,na,na
321,280.118,na,na,na,na
322,280.11,na,na,na,na
323,280.101,na,na,na,na
324,280.087,na,na,na,na
325,280.08,na,na,na,na
326,280.088,na,na,na,na
327,280.087,na,na,na,na
328,280.08,na,na,na,na
329,280.065,na,na,na,na
330,280.057,na,na,na,na
331,280.048,na,na,na,na
332,280.035,na,na,na,na
333,280.025,na,na,na,na
334,280.007,na,na,na,na
335,279.993,na,na,na,na
336,279.975,na,na,na,na
337,279.965,na,na,na,na
338,279.949,na,na,na,na
339,279.926,na,na,na,na
340,279.919,na,na,na,na
341,279.89,na,na,na,na
342,279.875,na,na,na,na
343,279.85,na,na,na,na
344,279.833,na,na,na,na
345,279.827,na,na,na,na
346,279.813,na,na,na,na
347,279.806,na,na,na,na
348,279.788,na,na,na,na
349,279.78,na,na,na,na
350,279.761,na,na,na,na
351,279.752,na,na,na,na
352,279.734,na,na,na,na
353,279.726,na,na,na,na
354,279.717,na,na,na,na
355,279.7,na,na,na,na
356,279.668,na,na,na,na
357,279.644,na,na,na,na
358,279.614,na,na,na,na
359,279.588,na,na,na,na
360,279.559,na,na,na,na
361,279.532,na,na,na,na
362,279.496,na,na,na,na
363,279.466,na,na,na,na
364,279.441,na,na,na,na
365,279.42,na,na,na,na
366,279.399999999999,na,na,na,na
367,279.373,na,na,na,na
368,279.351,na,na,na,na
369,279.330999999999,na,na,na,na
370,279.307,na,na,na,na
371,279.276,na,na,na,na
372,279.249000000001,na,na,na,na
373,279.223,na,na,na,na
374,279.22,na,na,na,na
375,279.206,na,na,na,na
376,279.194,na,na,na,na
377,279.181,na,na,na,na
378,279.167,na,na,na,na
379,279.144,na,na,na,na
380,279.136999999999,na,na,na,na
381,279.114,na,na,na,na
382,279.108,na,na,na,na
383,279.097,na,na,na,na
384,279.086,na,na,na,na
385,279.071,na,na,na,na
386,279.054999999999,na,na,na,na
387,279.037,na,na,na,na
388,279.017000000001,na,na,na,na
389,279.016999999999,na,na,na,na
390,279.006,na,na,na,na
391,278.987,na,na,na,na
392,278.98,na,na,na,na
393,278.974,na,na,na,na
394,278.96,na,na,na,na
395,278.942,na,na,na,na
396,278.938,na,na,na,na
397,278.906,na,na,na,na
398,278.884,na,na,na,na
399,278.879999999999,na,na,na,na
400,278.864,na,na,na,na
401,278.846,na,na,na,na
402,278.833,na,na,na,na
403,278.832,na,na,na,na
404,278.835,na,na,na,na
405,278.84,na,na,na,na
406,278.836,na,na,na,na
407,278.839,na,na,na,na
408,278.84,na,na,na,na
409,278.829,na,na,na,na
410,278.821,na,na,na,na
411,278.814,na,na,na,na
412,278.817,na,na,na,na
413,278.804,na,na,na,na
414,278.789,na,na,na,na
415,278.775,na,na,na,na
416,278.76,na,na,na,na
417,278.754,na,na,na,na
418,278.719,na,na,na,na
419,278.703,na,na,na,na
420,278.692,na,na,na,na
421,278.67,na,na,na,na
422,278.655,na,na,na,na
423,278.641,na,na,na,na
424,278.627,na,na,na,na
425,278.608,na,na,na,na
426,278.593,na,na,na,na
427,278.572,na,na,na,na
428,278.558,na,na,na,na
429,278.544,na,na,na,na
430,278.521999999999,na,na,na,na
431,278.498,na,na,na,na
432,278.473,na,na,na,na
433,278.454999999999,na,na,na,na
434,278.426,na,na,na,na
435,278.396,na,na,na,na
436,278.369,na,na,na,na
437,278.351,na,na,na,na
438,278.313,na,na,na,na
439,278.287,na,na,na,na
440,278.268,na,na,na,na
441,278.251,na,na,na,na
442,278.232,na,na,na,na
443,278.226,na,na,na,na
444,278.22,na,na,na,na
445,278.19,na,na,na,na
446,278.18,na,na,na,na
447,278.151,na,na,na,na
448,278.137,na,na,na,na
449,278.119,na,na,na,na
450,278.102,na,na,na,na
451,278.083,na,na,na,na
452,278.051,na,na,na,na
453,278.026,na,na,na,na
454,278.01,na,na,na,na
455,277.985,na,na,na,na
456,277.971,na,na,na,na
457,277.949,na,na,na,na
458,277.925,na,na,na,na
459,277.897,na,na,na,na
460,277.883,na,na,na,na
461,277.865,na,na,na,na
462,277.845,na,na,na,na
463,277.816,na,na,na,na
464,277.8,na,na,na,na
465,277.777,na,na,na,na
466,277.758999999999,na,na,na,na
467,277.738,na,na,na,na
468,277.712999999999,na,na,na,na
469,277.692999999999,na,na,na,na
470,277.674,na,na,na,na
471,277.644,na,na,na,na
472,277.629000000001,na,na,na,na
473,277.611000000001,na,na,na,na
474,277.59,na,na,na,na
475,277.561,na,na,na,na
476,277.533,na,na,na,na
477,277.517,na,na,na,na
478,277.496,na,na,na,na
479,277.485,na,na,na,na
480,277.479999999999,na,na,na,na
481,277.463999999999,na,na,na,na
482,277.459,na,na,na,na
483,277.449,na,na,na,na
484,277.444,na,na,na,na
485,277.426999999999,na,na,na,na
486,277.400999999999,na,na,na,na
487,277.378,na,na,na,na
488,277.370000000001,na,na,na,na
489,277.353,na,na,na,na
490,277.348,na,na,na,na
491,277.331,na,na,na,na
492,277.311,na,na,na,na
493,277.299,na,na,na,na
494,277.277,na,na,na,na
495,277.264,na,na,na,na
496,277.258,na,na,na,na
497,277.239000000001,na,na,na,na
498,277.235,na,na,na,na
499,277.216999999999,na,na,na,na
500,277.206,na,na,na,na
